date,time,color,white,black,opponent,result,opening,eco,termination,time_control,time_class,user_rating,opp_rating,rating_diff,moves,plies,captures,checks,castles,promotions,pawn_moves,piece_moves,link
2025.05.16,18:18:12,white,NafsinFerdous,bateau1234,bateau1234,win,Kings Pawn Opening Kings Knight Variation,C40,NafsinFerdous won by checkmate,10:00,Unknown,1069,742,327,37,73,17,14,1,0,16,57,https://www.chess.com/game/live/141733242805
2025.05.16,18:29:28,white,NafsinFerdous,delidumrulll,delidumrulll,win,Owens Defense 2.d4 Bb7 3.Nc3 e6 4.Nf3,B00,NafsinFerdous won - game abandoned,5:00,Unknown,1095,1064,31,11,21,3,0,1,0,6,15,https://www.chess.com/game/live/138533274946
2025.05.16,18:34:15,black,Gh_C,NafsinFerdous,Gh_C,win,Sicilian Defense...3.Bc4 Nf6 4.d3 Nc6,B50,NafsinFerdous won on time,5:00,Unknown,1121,1065,56,35,70,21,3,2,0,19,51,https://www.chess.com/game/live/138533425800
2025.05.16,18:44:24,white,NafsinFerdous,alexey_fish,alexey_fish,win,Kings Pawn Opening Kings Knight Variation,C40,NafsinFerdous won by checkmate,2:00 + 1s,Unknown,1168,1056,112,24,47,13,3,2,0,10,37,https://www.chess.com/game/live/138533746370
2025.05.16,18:50:07,black,Japocone,NafsinFerdous,Japocone,win,Sicilian Defense 2.Nf3 d6 3.Bc4 Nf6 4.Nc3,B50,NafsinFerdous won by checkmate,10:00,Unknown,1085,1045,40,23,46,9,1,2,0,15,31,https://www.chess.com/game/live/138533926164
2025.05.16,19:02:17,white,NafsinFerdous,AEjraei88,AEjraei88,loss,Petrovs Defense Classical Variation,C42,AEjraei88 won by resignation,10:00,Unknown,1068,1075,-7,30,60,17,4,2,0,11,49,https://www.chess.com/game/live/138534302194
2025.05.16,19:10:12,black,AEjraei88,NafsinFerdous,AEjraei88,win,Sicilian Defense 2.Nf3 d6 3.Bc4 Nc6,B50,NafsinFerdous won by checkmate,10:00,Unknown,1084,1067,17,39,78,24,9,2,0,24,54,https://www.chess.com/game/live/138534544310
2025.05.17,08:51:48,white,NafsinFerdous,Molon74,Molon74,win,Philidor Defense Exchange Variation 4.Nxd4,C41,NafsinFerdous won - game abandoned,10:00,Unknown,1100,1098,2,26,51,14,4,2,0,14,37,https://www.chess.com/game/live/138551430630
2025.05.17,09:05:37,black,seee_ya_layter,NafsinFerdous,seee_ya_layter,win,Queens Pawn Opening Chigorin Variation 2...e6,D00,NafsinFerdous won by resignation,10:00,Unknown,1100,1229,-129,35,70,18,11,2,1,18,52,https://www.chess.com/game/live/138551760292
2025.05.17,09:15:13,black,Bigbelush,NafsinFerdous,Bigbelush,win,Sicilian Defense Smith Morra Gambit 2...cxd4 3.Qxd4 Nc6,B21,NafsinFerdous won by checkmate,10:00,Unknown,1114,1078,36,17,34,10,2,2,0,7,27,https://www.chess.com/game/live/138551992206
2025.05.17,09:19:05,white,NafsinFerdous,Bigbelush,Bigbelush,win,Philidor Defense 3.d4,C41,NafsinFerdous won by checkmate,10:00,Unknown,1126,1071,55,9,17,4,2,0,0,7,10,https://www.chess.com/game/live/138552087050
2025.05.17,09:20:40,white,NafsinFerdous,Chjgykk,Chjgykk,win,Ruy Lopez Opening Cozio Defense...7.d4 exd4 8.cxd4 O O,C60,NafsinFerdous won by checkmate,10:00,Unknown,1141,1169,-28,61,121,26,13,2,1,36,85,https://www.chess.com/game/live/138552125954
2025.05.17,13:06:20,white,NafsinFerdous,pukimaiman,pukimaiman,win,French Defense Exchange Variation 3...exd5 4.Nf3 Nf6,C01,NafsinFerdous won by resignation,5:00,Unknown,1145,1098,47,36,71,22,1,2,0,20,51,https://www.chess.com/game/live/138558269516
2025.05.17,13:15:12,black,Ramokolic,NafsinFerdous,Ramokolic,win,Sicilian Defense...3.Bc4 Nf6 4.e5 dxe5 5.Nxe5 e6,B50,NafsinFerdous won by checkmate,5:00,Unknown,1168,1122,46,26,52,14,2,2,0,10,42,https://www.chess.com/game/live/138558535488
2025.05.17,15:54:29,black,imnoobbby,NafsinFerdous,imnoobbby,win,Sicilian Defense Chekhover Variation 4...Nc6,B53,NafsinFerdous won by resignation,10:00,Unknown,1154,1152,2,18,36,8,2,1,0,12,24,https://www.chess.com/game/live/138563521246
2025.05.17,15:59:00,white,NafsinFerdous,Aldolaclasse1,Aldolaclasse1,loss,Ruy Lopez Opening Cozio Defense 4.O O,C60,Aldolaclasse1 won by resignation,10:00,Unknown,1142,1170,-28,13,26,6,1,1,0,12,14,https://www.chess.com/game/live/138563664176
2025.05.17,16:01:36,black,Aldolaclasse1,NafsinFerdous,Aldolaclasse1,win,Sicilian Defense...6.O O O O 7.Re1 Nc6,B50,NafsinFerdous won by resignation,10:00,Unknown,1155,1161,-6,41,82,13,2,2,0,21,61,https://www.chess.com/game/live/138563746456
2025.05.18,18:24:32,black,Andreas251,NafsinFerdous,Andreas251,loss,Closed Sicilian Defense Traditional Line 3.Nf3 d6 4.Bb5 Bd7 5.O O,B23,Andreas251 won by resignation,5:00,Unknown,1145,1169,-24,16,31,7,1,2,0,7,24,https://www.chess.com/game/live/138603156768
2025.05.18,18:27:11,white,NafsinFerdous,Ch3ckItOut,Ch3ckItOut,win,Caro Kann Defense Exchange Variation 3...cxd5 4.Nf3,B13,NafsinFerdous won by checkmate,5:00,Unknown,1170,1201,-31,47,93,22,10,1,1,21,72,https://www.chess.com/game/live/138603239626
2025.05.18,18:38:55,white,NafsinFerdous,Za3bolla11,Za3bolla11,win,Ruy Lopez Opening Morphy Defense Columbus Variation 4...Nf6 5.O O b5 6.Bb3,C78,NafsinFerdous won on time,10:00,Unknown,1167,1152,15,56,111,24,14,1,0,22,89,https://www.chess.com/game/live/138603605784
2025.05.18,19:13:17,black,omnamah21,NafsinFerdous,omnamah21,loss,English Opening Symmetrical Variation...4.Bg2 Bg7 5.O O d6,A30,omnamah21 won on time,2:00 + 1s,Unknown,1130,1357,-227,33,65,15,2,2,0,18,47,https://www.chess.com/game/live/138604660304
2025.05.18,19:18:51,white,NafsinFerdous,MChaker01,MChaker01,loss,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,C45,MChaker01 won by checkmate,2:00 + 1s,Unknown,1078,1194,-116,56,112,28,14,2,2,29,83,https://www.chess.com/game/live/138604828594
2025.05.18,19:25:01,black,Ciabatabata,NafsinFerdous,Ciabatabata,win,Caro Kann Defense Exchange Variation...4.Bd3 Nf6 5.c3 Nc6,B13,NafsinFerdous won by checkmate,2:00 + 1s,Unknown,1124,1028,96,29,58,19,6,2,0,14,44,https://www.chess.com/game/live/138605014090
2025.05.19,04:45:50,black,Stilltheman,NafsinFerdous,Stilltheman,win,Queens Pawn Opening 1...d5 2.e3,D00,NafsinFerdous won by checkmate,2:00 + 1s,Unknown,1169,1107,62,25,50,12,6,2,0,15,35,https://www.chess.com/game/live/138616161266
2025.05.19,04:52:08,white,NafsinFerdous,aprillouis,aprillouis,loss,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,C45,aprillouis won by resignation,5:00,Unknown,1151,1193,-42,30,60,15,1,2,0,15,45,https://www.chess.com/game/live/138616270242
2025.05.19,04:57:44,white,NafsinFerdous,ItsVedu,ItsVedu,win,Ruy Lopez Opening Berlin Improved Steinitz Defense,C66,NafsinFerdous won by checkmate,5:00,Unknown,1169,1136,33,26,51,15,3,2,0,14,37,https://www.chess.com/game/live/138616367582
2025.05.19,18:35:52,black,Walfwanted,NafsinFerdous,Walfwanted,win,Van t Kruijs Opening 1...c5,A00,NafsinFerdous won by resignation,10:00,Unknown,1179,1182,-3,29,58,17,2,1,0,19,39,https://www.chess.com/game/live/138639336542
